Date,Test Case ID,Module,Test Scenario,Test Steps,Expected Result,Actual Result,Status,Remarks
,,WINDOWS AGENT SERVER CONFIGURATION,,,,,,
2026-05-19,TC-001,Windows Agent Server,Add a new Windows Agent server with valid Server Name Type DNS/DHCP Server IP and HTTPS Port,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server should be added successfully and displayed in the server list,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-19,TC-002,Windows Agent Server,Edit an existing Windows Agent server and update Server Name,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server name should be updated successfully,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-19,TC-003,Windows Agent Server,Delete an existing Windows Agent server,"1. Obtain valid auth token via POST /api/login
2. Set Content-Type: application/json and Authorization header
3. Execute the API request as per the test scenario
4. Verify the response status code, headers and body
5. Cross-verify backend state via PowerShell/dig",Server should be removed from the server list,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-19,TC-004,Windows Agent Server,Add Windows Agent server with duplicate Server Name,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Enter invalid / duplicate / out-of-range value as per scenario
7. Click 'Save' / 'Submit'
8. Verify proper validation/error message is displayed and no change is saved",Error message should display - duplicate server name not allowed,,Not Started,Platform: Windows | Type: Functional | Nature: Negative
2026-05-19,TC-005,Windows Agent Server,Add Windows Agent server with invalid Server IP format,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Enter invalid / duplicate / out-of-range value as per scenario
7. Click 'Save' / 'Submit'
8. Verify proper validation/error message is displayed and no change is saved",Validation error should display for invalid IP address,,Not Started,Platform: Windows | Type: Functional | Nature: Negative
2026-05-19,TC-006,Windows Agent Server,Add Windows Agent server with empty mandatory fields (Server Name Server IP HTTPS Port),"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Enter invalid / duplicate / out-of-range value as per scenario
7. Click 'Save' / 'Submit'
8. Verify proper validation/error message is displayed and no change is saved",Validation error should display for required fields,,Not Started,Platform: Windows | Type: Functional | Nature: Negative
2026-05-19,TC-007,Windows Agent Server,Toggle Node Agent ON and verify agent connectivity,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Node Agent should be enabled and connectivity status should show active,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-19,TC-008,Windows Agent Server,Toggle Node Agent OFF and verify agent stops responding,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Node Agent should be disabled and agent should not respond to requests,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-19,TC-009,Windows Agent Server,Set Primary Domain Controller to Yes and verify PDC role assignment,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server should be marked as Primary Domain Controller,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
